what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1496652863411
started,bundle,org.eclipse.jdt.junit.core,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.core",1496652863536
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1496652864459
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1496652864586
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1496652870258
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496652870336
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496652872812
opened,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1496652873849
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1496652878761
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1496652921585
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496652952178
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496652985672
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1496653018512
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1496653018565
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653019279
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653021327
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1496653021540
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1496653021680
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1496653021707
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1496653021719
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1496653021745
started,bundle,org.eclipse.jst.j2ee.core,1.2.0.v201005200200,"org.eclipse.jst.j2ee.core",1496653021787
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1496653021864
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1496653021949
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1496653022122
started,bundle,org.eclipse.jst.j2ee,1.1.400.v201005271900,"org.eclipse.jst.j2ee",1496653022239
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1496653022265
started,bundle,org.eclipse.jst.jee,1.0.300.v201005191301,"org.eclipse.jst.jee",1496653022383
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1496653030176
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1496653036665
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1496653044940
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653048522
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653062679
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653066513
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653068193
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653076797
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653091605
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653122844
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653155931
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1496653198637
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653216324
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653218140
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1496653222786
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1496653241466
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1496653244606
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653247491
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653259226
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653262906
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653265157
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653276312
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653278329
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1496653282346
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1496653297425
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1496653378491
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1496653380026
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496653382032
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496654206616
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496654210633
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496654317084
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496734857406
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496734886693
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496734905087
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1496734938873
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496734956399
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496735062489
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496735063974
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496735082146
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1496735086616
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496735096157
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496735098575
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1496735103268
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1496735140315
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496735191475
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1496735195871
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1496735216719
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1502612200363
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1502612200378
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1502612200380
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1502612200381
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1502612200383
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1502612200384
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1502612200386
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1502612200386
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1502612200387
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1502612200388
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1502612200389
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1502612200389
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1502612200430
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1502612200430
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1502612200446
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1502612200446
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1502612200461
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1502612200461
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1502612200461
started,bundle,org.eclipse.equinox.app,1.3.0.v20100512,"org.eclipse.equinox.app",1502612200461
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1502612200461
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100507,"org.eclipse.equinox.ds",1502612200461
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1502612200461
started,bundle,org.eclipse.equinox.p2.core,2.0.0.v20100510,"org.eclipse.equinox.p2.core",1502612200461
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.200.v20100601,"org.eclipse.equinox.p2.directorywatcher",1502612200461
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1502612200461
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1502612200461
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1502612200539
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1502612200539
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1502612200539
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1502612200602
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1502612200602
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1502612200602
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1502612200602
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1502612200602
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1502612200649
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1502612200649
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1502612200664
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1502612200664
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1502612200664
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1502612200664
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1502612200664
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1502612200664
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1502612200664
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1502612200664
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1502612200664
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1502612200664
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1502612200711
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1502612200758
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1502612200805
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1502612200852
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1502612200930
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1502612200930
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1502612200930
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1502612200961
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1502612200961
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1502612200961
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1502612200961
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1502612200993
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1502612201024
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1502612201024
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1502612201024
os,sysinfo,,,"win32",1502612201024
arch,sysinfo,,,"x86_64",1502612201024
ws,sysinfo,,,"win32",1502612201024
locale,sysinfo,,,"en_US",1502612201024
processors,sysinfo,,,"4",1502612201024
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1502612201024
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1502612201024
java.specification.name,sysinfo,,,"Java Platform API Specification",1502612201024
java.specification.vendor,sysinfo,,,"Oracle Corporation",1502612201024
java.specification.version,sysinfo,,,"1.8",1502612201024
java.vendor,sysinfo,,,"Oracle Corporation",1502612201024
java.version,sysinfo,,,"1.8.0_121",1502612201024
java.vm.info,sysinfo,,,"mixed mode",1502612201024
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1502612201024
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1502612201024
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1502612201024
java.vm.specification.version,sysinfo,,,"1.8",1502612201024
java.vm.vendor,sysinfo,,,"Oracle Corporation",1502612201024
java.vm.version,sysinfo,,,"25.121-b13",1502612201024
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1502612201636
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1502612201636
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1502612202012
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1502612202027
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1502612202074
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1502612202090
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1502612202230
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1502612202262
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1502612202383
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1502612202461
