what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1495607637212
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1495607637400
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1495607637492
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1495607812648
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1495607813368
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1495607826736
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1495607826895
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1495607844576
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1495607866015
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1495607866189
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1495607906212
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1495607930856
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1495607952972
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1495607986574
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1495608205926
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1495693915037
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1495693946022
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1495693999066
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1495694121366
