what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1502815536057
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1502815536584
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1502815540018
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1502815634341
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1502815642817
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1502815692905
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1502815715782
started,bundle,org.eclipse.epp.mpc.ui,1.0.0.v20100611-0430,"org.eclipse.epp.mpc.ui",1502815719312
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1502815720464
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1502815720582
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1502815720944
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1502815721058
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1502815721082
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1502815721274
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1502815721632
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1502815721666
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1502815777587
executed,command,org.eclipse.epp.mpc.ui,1.0.0.v20100611-0430,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1502815777600
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1502815783551
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1502815786073
