what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1505148806941
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1505148806941
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1505148806988
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1505148807020
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1505148807020
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1505148807020
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1505148807082
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1505148807082
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1505148807082
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1505148807082
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1505148807098
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1505148807113
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1505148807113
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1505148807129
os,sysinfo,,,"win32",1505148807158
arch,sysinfo,,,"x86_64",1505148807158
ws,sysinfo,,,"win32",1505148807158
locale,sysinfo,,,"en_US",1505148807158
processors,sysinfo,,,"4",1505148807158
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1505148807158
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1505148807158
java.specification.name,sysinfo,,,"Java Platform API Specification",1505148807158
java.specification.vendor,sysinfo,,,"Oracle Corporation",1505148807158
java.specification.version,sysinfo,,,"1.8",1505148807158
java.vendor,sysinfo,,,"Oracle Corporation",1505148807158
java.version,sysinfo,,,"1.8.0_121",1505148807158
java.vm.info,sysinfo,,,"mixed mode",1505148807158
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1505148807158
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1505148807158
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1505148807158
java.vm.specification.version,sysinfo,,,"1.8",1505148807158
java.vm.vendor,sysinfo,,,"Oracle Corporation",1505148807158
java.vm.version,sysinfo,,,"25.121-b13",1505148807158
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1505148807213
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1505148807291
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1505148807322
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1505148807416
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1505148807507
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1505148807616
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1505148808229
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1505148808510
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1505148808604
started,bundle,org.eclipse.emf.common,2.6.0.v20100614-1136,"org.eclipse.emf.common",1505148808995
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1505148809120
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1505148809957
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1505148810051
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1505148810223
started,bundle,org.testng.eclipse,6.11.0.201703011520,"org.testng.eclipse",1505148810504
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1505148810707
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.100.v201004202202,"org.eclipse.jst.common.project.facet.core",1505148811145
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.0.v201005191955,"org.eclipse.jst.ws.jaxrs.core",1505148811186
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1505148813633
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1505148841864
started,bundle,org.eclipse.jpt.core,2.3.0.v201006020000,"org.eclipse.jpt.core",1505148842364
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1505148845116
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1505148845303
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1505148845334
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1505148845444
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1505148845444
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1505148845569
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1505148845584
